N; Data;Nome;Nacionalidade;Profissão;Domicilio;OBJECTO DA INVENÇÃO;OBSERVAÇÔES
4.519;7;Francia Ernest Dunnett;Inglez;Engenlieiro;;Nova ou aperfelçoada tinta ou com-;NA
;;;;;;posição não corrosiva e preservativa do sujo.;NA
4.54;2 de mar.;Fritz Blau (Dr.);Allemão;Industrial.;Charlottenburg (Allemanha);Aperfeicoamentos em processo de;NA
4.541;2;o mesmo;-;-;-;producção de corpos incandescentes para lamnalas electricas. Aperfeiçonmentos em lampadas ele- etricas incandescentes.;NA
4.542;2 >;Electric Boat Company;lorte-americana.;Industrial;New York (Estados Unidos da America).;Dispositivo para zovernar e diri- gir barcos submarinos submersi- veis ou semelhante: (1);NA
4.543;2;Valdemar Poulsen,;Dinamarquez;Engenheiro electricista;Copenhague (Dinamarca);Aprefeiçoamentos em systema de re- cenção, transmissão de signaes,;NA
4.544;2;Irenée Aleris Chavanne Barthélemy e Ollagnier;Francezes.;Industriaes;Pariz (França);para sem fio. Moinho aperfeiçoado.;NA
4.545;2;Os mesmos;-;-;-;Processo de moagem e moinho para esse fim.;NA
4.546;2;Kristian Birkeland Samuel Eyde;Norueguez;Professor Engenheiro civil;Lysaker (Noruega) ) Christiania (Noruega) );Processo para tratar materias a altas temperaturas e apparelho para esse fim.;NA
4.547;20;William Melvirne Stephens,;Corte-americano;Electricista;Williamsport, Pennsylvania (Estados Unidos da America).;Aperfeiçonmentos em systema de linhas ferreas electricas.;NA
4.548;2;Cornelis Maaskant;Inglez;Inspector de estradas de ferro;Johannesburg (Transvaal);Aperfeiçoamentos nos meios meca-;NA
;;;;;;nicos de evitar que se mexa indevi- damente no contendo dos vagões e de outros vehiculos semelhantes de eaminhos de ferro.;NA
4.549;;Jorge Suppo Charles Sorensen;Brasileiro. Dinamarquez;Industriaes;Soledade ( Estado de Minas Geraes).;Caixa para lubrificação de eixos, denominada <Syatema Soledade>.;NA
4.55;3;Tarquinio Maximo Valente,;Brasileiro.;Official de marinha mercante;Rio de Janeiro;Aperfeiçonmentos de parallelepiredos e ladrilhos de granito nacional. por meio de machina ou á mão.;NA
4.551;3 >;Alois Ocko;;Mecanico;Rio Claro (Estado de s. Paulo).;Machina de beneficiar café em grão. reunindo os processos principaes para esse fim : o esbrugamento e descaseamento, ventilação e sepa- ração do prodneto em um só me- canismo, denominado <Simplex>.;NA
4.552;3 > >;Antonio Chiocca;Italiano;Industrial;s. Paulo (Estado de s. Paulo).;Machina para ondular e cortar cha-;NA
;;;;;;pas. folhas e semelhantes, de aço. destinadas ao fabrico de portas de aço ondulado, Systema Chiocca>>.;NA
4.553;3;Paul Gredt;Luxemburguez;Engenheiro;Gran-Dueado de Luxemburgo.;Processo de tratamento dos mine- productos metallurgicos no;NA
4.554;3 >;Vittorio Giobert & Comp;Italianos;Industriaes;Genova (Italia);reos e forno electrico de inducção. (2) Dynamo de dupla armadura ou mo- (or electrico e transformador.;NA
4.555;10;John Franklin Brady;Norle-americano.;Engenheiro;Chieago ( Estados Unidos da;Aperfeiçoamentos em turbinas a va-;NA
4.556;14;Alexandre Primat;Francez;Industrial;America). Pariz (França);por, Aperfeiçoamentos referentes a motores rotativos.;NA
4.557;14 >;Francis James Oakes;Norte-americano.;;Nova York (Estados Unidos;da Processo de tratamento de couros.;NA
4.558;14 >;o mesmo;;;America). -;Aperfeiçonmentos em processos de tratamento de couros e pelles.;NA
4.559;14 de mar.;Marcus Samuel (Sir) e John Frederick Cooke Farkuhar;Inglez;Negociante Engenheiro -;Londres (Inglaterra) -;Lampada de oleo aperfeiçoada. Aperfeiçoamentos em lampadas de oleo.;NA
4.56;14;Os mesmos;;;Cleveland ( Estados Unidos da;Caixa para tickets ou bilhetes de;NA
4.561;14;Murdoch Macdonald;Norte-americano;Industrial electricista;America). Washington (Estados Unidos da;Aperfeiçoamentos na transmissão de passagem.;NA
4.562;14;Reginald Aubrey Fessenden;;Engenheiro;America). Rio de Janciro;Nova metal- signaes.;NA
4.563;22;Mariano Corrêa da Silva;Pôrtuguez;Ourives Guarda-livros;Idem;lica. denominada Novo systema de enveloppes duplos. phoreira Avenida. ou eaixa apertelcoada para;NA
4.564;22 >;Antonio de Salles Ferreira Carvalho;Brasileiro Brasileiro;Industrial;Rio de Janeiro;Deposito um systema de entrega de encom-;NA
4.565;22 >;José Soares Gonçalves de;;;;mendas. alambique, deno-;NA
;;;Itilianos;Industriaes;Passos (Estado de Minas Geraes);Novo capello para minado Progresso>.;NA
4.566;22;F. Merola & Failage;;Industrial;Rio de Janeiro;Systema aperfeicoado de fogão eco- nomico.;NA
4.567;23 >;Camillo Cristaldi;Italiano;;Paris (França);Aperfeiçoamentos em ejectores.;NA
4.568;22 >;Societé Anonyme Westinghouse e Leblanc.;MauricePranceza Francez Norto-america.na.;Engenheiro Industrial;Auteuil (França) Toledo, Ohio (Estados Unidos da;perfeiquamentos no fabrico de arti- gros de vidro e apparelho para esso;NA
4.569;22 >;The Tole-lo Glass Company;;;America).;flm. aperfeiçoado para a ex-;NA
4.57;22 >;Sidney Theodore Mully;;Engenheiro de minas;Philadelphia (Estados Unidos da America).;Processo tracção de metaes preciosos dos seus minereos e apparellios para esse fim. para alizar;NA
;;;;Industrial;Gratwein (Austria);Apparviho aperfeiçoado o lençol de papel em machina de;NA
4.571;22;Clemens Tittel;Austriaco;;Nova York (Estados Unidos da;Aperfeiçoamentos em machinas de fabricar papel. interna.;NA
4.572;22;Electric Boat Company;Norte-americana;Engenheiro;Ameries). Rio de Janeiro;combristão Novo systema de ladrilho, denominado < Ladrilho asphaltado impermea-;NA
4.573;22;Arthur da Silva Pinto;Brasileiro;Negociante;s. Paulo (Estado de s. Paulo);Systema aperfeiçoado de folhinha vel>. de folhi- commercial.;NA
4.574;22;Jorge von Puttkammer;;;> (;Novo sy-tema aperfeiçoado nha commercial.;NA
4.575;22 >;o mesmo;;Empregado no commercio;(;Novo apparelho gerador do gaz denominado < Gaz Vegetal Brazi-;NA
4.576;22;Alvaro Teixeira Pinto;>;;Rio de Janeiro;Aperfeiçoamento na fabricação de leiro. phosphore denominado Phosphoro;NA
4.577;22;Rodolpho Matthiesen;>;Negociante;Surbiton (Inglaterra);Novo duplo.. para-fagulhas para locomoti-;NA
4.578;22;Dugald Drummond;Inglez Portuguez;Industrial;Rio de Janeiro;Systema vas. aperfeiçoado de ealçado. aperfeignada para arrolhar;NA
4.579;30;Antonio Martinho de Andrade;;>;Nova York (Estados Unidos;da Capa garrafas. garrafas.;NA
4.58;"30 """;Froderick Recht;Nort:-americano;;America). Idem Unidos;Nova capa para arrolhar da Novo apparelho rvceptor electrico;NA
4.581 4.582;30 > 30 >;> o mesmo Harry Shoemaker;";";Electricista Tork.;Jersey City (Estados America).;para telegraphia sem flos (1).;NA
4.584;30 de mar.;Adolf Hein;Allemão;Electricista;Berim (Allemanha);Apparelho para remover o pó dos tapetes. tapeçarias,-etc. por aspi- ração doar.;NA
4.585;2 > abr.;Napoleão Duarte (coronel);Brasileiro;Industrial;Recife (Estado de Pernambuco).;Novo processo de extrahir do tuber- farinha tão;NA
;;;;;;culo da mandioca uma boa e perfeita como a do trigo, a qual se prestará tambem para a confecção de todas as massas de que se servem as pastelarias, inclusive a panificação.;NA
4.586;5 >;Companhia Vidraria Santa Marina;Brasileira;;S. Paulo (Estado de S. Paulo).;Nova machina para fabricar gar- rafas. (1);NA
4.583;30;Norman Pain Pearse;Inglez;Engenheiro;Dondres (Inglaterra);Aperfeigoamentos em machinas de descaroçar algodão.;NA
4.587;5;Luiz Augusto Pinto;Brasileiro;Engenheiro civil e agricultor;Sandiy (Estado de S. Paulo);Systema de cultivadores e carpl- deiras de extensão, denominado <Luiz Pinto.;NA
4.588;5;Marietta Duchemin;Franceza;Negociante;Rio de Janeiro;Novo systema de kiosque rodante e portatil.;NA
4.589 4.590;5 5 >;José Octavio de Freitas (Dr.) Samuel Ami Bataillard;Brasileiro Suisso;Medico Industrial;Recife (Estado de Pernambuco) S. Paulo (Estado de S. Paulo);Nova applicação do pão-ferro á fabri- cação de tintura e outros prepa- rados para a cura de diabetes sac- charinas. Apparelho formicida aperfeiçoado;NA
;;;;;;e um ingrediente não indlammavel, denominado eFormicida Bataillard>, para o mesmo apparelho.;NA
4.591;5;José Martins Barcellos Junior;Portuguez;Constructor civil;Rip de Janeiro;Fornos, a que denominou <Economi-;NA
;;;;;;"cos"", para cozer pão, doces e para assados.";NA
4.592;6;Companhia Aerators Limited;Ingleza;Industrial;Lonires (Inglaterra);Melhoramentos em seltzogeneos e re- cipientes similares de líquidos ga- zosos.;NA
4.593;10;Gesellschaft für Trockenverfahron mit bes- chränkter Haflung.;Allemã;>;Berlim (Allemanha);Processo para seccar por meio de raios eluz.;NA
4.504;10;Zacarias de Paula Xavier (coronel);Brasileiro;>;Curityba (Estado do Paraná);Envoluero ou vasilha para herva- matte.;NA
4.595;10;Thomas Leopold Willson;Inglez;Engenheiro electricista;Ontario (Canadá);Boias aperfeiçordas.;NA
4.596;10;Serafina Folichetti;Italiana;Industrial;Milão (Italia);Machina a vapor aperfeiçoada, para;NA
;;;;;;lavar e esterilizar roupa, com fil- tração continua.;NA
4.597;10 >;Pedro de Lima Valverde;Brasileiro;;Rio de Janeiro;Systima de capas-annuncio. a que;NA
4.508;16 >;Wilhelme Michaelis;Inglez;Philologo;Coddres;denominon <Capas Valverde. Aperfeiçoament is em apparello para;NA
;;e Companhia Nemphone Limited;Ingleza;Industrial;(Inglaterra);produzir e registrar som e em re-;NA
4.599;16 >;Marconi's Wireless Telegraph Company, limited;>;;;gisto do som. Aperfeiçoamentos em apparelhos para telegraphia som flo.;NA
4.6;18 >>;Eugenio Boggiano;Italiano;;Roma (Italia);Machina de votar.;NA
4.601;21 >;Jonas Ortiz;Brasileiro;>;S. Manoel do Paraizo (Estado de S. Paulo);Cylindro aperfeiçoado para des- cascador de café, denominado <Cy- lindro Economico Ortiz>.;NA
4.619;22 de maio;Arens & Comp;Brasileiros;Industriaes;RioW le Janeiro;Apparelho regulador, automatico, de velocidade, para rodas hydrau- licas.;NA
4.62;22 >;Petrolite Limited (Companhia);Ingleza;Industrial;Lonires (Inglatérra);Aperfeiçoamentos em lampadas e ap-;NA
;;;;;;parelhos para queimar ar car- burado;NA
4.621;22 >;James Mellor;Inglez;Engenheiro civil;Araguary (Estado de Minas Ge- ries).;no beneficiamento do arroz.;NA
4.622;22;Nicola Pavia Giacomo Casalis;Italianos;Engenheiros;Tut m (Italia);Systema de apparelho de engate para vagões de estradas de ferro.;NA
4.623;22;Johan Friedrich Meyer Junior;Allemão,;Industrial;perto de Bremen (Alle- manha).;Aperfeiçoamentos no tratamento do café.;NA
4.624;92;Franklin Oscar De Hymel;Norte-americano;Engenheiro civil;Sanio Antonio, Texas (Estados Unidos da America).;Aperfeiçoamentos em mecanismos de bombas. (1);NA
4.625;25;João Geraque Murta;Brasileiro;Engenheiro;Rio de Janeiro;Registro de penna de agua, deno- minado <Excelslor>.;NA
4.626;31;François Heyvaert;Belga;Commerciante;Antrerpia (Belgica);Apparelho automatico para a ma- nobra das agulhas de caminho de ferro.;NA
4.627;31;Francisco Posadas;Hespanhol;Industrial;S. Paulo (Estado de S. Paulo).;Preparado formicida, denominado <Formicida Guarany>.;NA
4.628;31;Paschoal Segreto.;Italiano;Emprezario theatral;Ridd Janeiro.;Novo systema de kiosques portateis.;NA
4.629;1 jun.;Charles Edwin Holland;Norte-amoricano;Engenheiro;Now York (Estados Unidos da finerica).;Processo aperfeiçoado de recupe- ração de metaes nos liquidos.;NA
4.63;1;John Augustus Just;;Industrial;Sylucusa, Nova York (Estados Unidus da America).;Processo para recuperação de me- taes preciosos em minereos e mate- rias que contenham esses metaes.;NA
4.631;1;Froderic Clarck Hood;;;Hoflon (Estados Unidos da Ame- n.ca).;Aperfeiçoamentos em processo de tra- tamento da borracha bruta e appa- fim.;NA
4.632;1;Sergius Timokhovitch;Russo;Engenheiro mecanico;Moacow (Russia);relho para esse Ventiladores aperfeiçoados, com pás;NA
4.633;1 >;Fredrik Wagner;Sueco;Industrial;Stockholmo (Suecia);girando sem ruido. Aperfeiçoamentos em motores de ex- plosão.;NA
4.634;1;William Nepean Kutchison;Inglez;Engenheiro;Carl erwell (Inglaterra);Aperfeiçoamentos em apparelhos para;NA
4.635;1;The J.P. Karns Tunnelin Machine Company;Norte-americano.;Industrial;Boulder, Colorado (Estados Uni-;emendar e esticar arame. Machina aperfeiçoada para praticar;NA
4.636;4;Darling's Patente Automatic Coupling Li- mited,;Ingleza;;das-da America). Glasgow (Escocia);excavações. Aperfeiçoamentos em e referentes a de;NA
;;;;;;apparelhos engate e desengate automaticos de carros de estrada de ferro, vagões e outros vebi- culos.;NA
4.637 -;15;João Augusto Corrêa e José Antonio Ma- chado (coronel).;Brasileiros;Industriaes;Rigale Janeiro;Tinta verniz, denominada cAlga- lina >> preparada para pintar os fundos de navios e evitar a creação;NA
4.638;15;Napoleão Duarte (coronel);Brasileiro.;Industrial;de Pernambuco;das algas. Novo processo de extrahir o tannino,;NA
4.639;21;Fernandes Malmo & Comp;Brasileiros;Negociantes;Rio de Janeiro;para fins industriaes, de varias plantas brazileiras. Escarradeira aperfelçoada, denomi-;NA
4.64;21;Os mesmos.;-;;-;nada < Escarradeira hygienica >. Aperfeiçoamento em supporte de es- carradeiras,;NA
4.641;21 de jun;Leopoldo Victor Marques;Brasileiro.;Mecanico;Olinda (Estado de Pernambuco;Economizador de combustivel em cal-;NA
;;;;;;deiras a vapor, denominado Eco-;NA
4.642;21;The St. John d'El-Rey Mining Company,;Ingleza;Industrial;Villa Neva de Lima (Estado de;nomizador Vietor Marques. Aperfeiquamentos em ferramenta;NA
;;Limited;;;Minas Geraes).;pneumatica.;NA
4.643;21 >;Companhia Fabrica de Vidros e Crystaes do Brazil.;Brasileira;;Rio de Janeiro.;Dispo-itivo aperfeiçoado de fechar ou tapar hermeticamente frascos;NA
4.644;21 >;Electric Boat Company;Norte-americano.;>;Nova York (Esta/o Unidos da America).;ou vidros ou vasilhames de boccal. Apparelho aperfeiçoado para mano- bra e lançamento de torpedos a bordo de um navio submarino, sub-;NA
4.645;21 >;Alessandro Artom;Italiano;Engenheiro e professor;Turim (Italia);mersível ou analogo. Aperfeiçoamentos em apparelhos rece-;NA
4.646;21;Alfredo Whitaker;Inglez;Engenheiro mecanico;Burnham (Inglaterra);ptores de telegraphia sem flo. Aperfeiçoamentos em apparelhos auto-;NA
;;;;;;maticos de recepção, entrega ou permuta de tabletes, varas (staff) ou objectos semelhantes usados em estradas de ferro.;NA
4.647;21 >;William Blackmore e Alfred Howard;Inglezes;Chimicose metallurgistis;Londres (Inglaterra);Aperfeiçoamentos introduzidos no tra- tamento das pyrites que contém ouro, prata e outros metaes pre- closos.;NA
4.648.;21;Enrietti & Comp;Italianos;Industriaes;Napoles (Italia);Motor rotativo com cylindros recti-;NA
4.649;22;John Picton Nelson;Inglez;Negociante;Rio de Janeiro;lineos. Processo de fabricação, a frio, de;NA
;;e João de Simas Enéas;Brasileiro.;Industrial;;briqueites combustives.;NA
4.65;22;Os mesmos;-;;-;Processo de fabricação, a quente,;NA
4.651;22;Justiniano de Mello e Silva;Brasileiro;Professor;Aracajd (Estado de Sergipe);de briquettes combustiveis. Novo modelo de acrostatos dirigíveis, mais pesados do que o ar (1).;NA
4.652;23;Renstrom Tempered Copper Company;Norte-americana;Industrial;Washington (Estados Unidos da America).;Processo para endurecer ou tempe- rar cobre ou ligas de cobre (2).;NA
4.653;6 julh,;Odilon Feher;Francez;;Montreal (Canadá);Ferrolho de segurança para porca,;NA
;;;;;;com applicação especial aos pa- rafusos dos trilhos de estradas de ferro.;NA
4.654;;Alipio Augusto Guedes;Brasileiro;Fazendeiro;S. José do Pieú (Estado de Mi- nas Geracs).;Novo systema de acondicionamento de fumo em corda.;NA
4.655;6;Luiz Bueno de Miranda;;Commerciante lavrador;S. Paulo (Estado de Si Paulo).;Aperfeiçoamentos em machinas ara- torias.;NA
4.656;6;George François Jaubert (Dr.);Francez;Professor;Pariz (França).;Aperfeiçoamentos na preparação do oxygeneo por decomposição dos saes oxygenados.;NA
4.657;6;o mesmo.;;;);Novo gerador de oxygeneo.;NA
4.658;6;Valdemar Poulsen;Dinamarquez;Engenheiro;Fredericksberg (Dinamarca);Processo aperfeiçoado para trans- missão de signaes em telegraphia sem flo.;NA
4.659;6;- Minerals Separation, Limited;Ingleza;Industrial;Londres (Inglaterra);Processo aperfeiçoado para a con- centração dos minernes a secco,;NA
4.66;6;Harvey Coalo;Norte-americano.;;Baltimore (Estados Unidos America).;da Novo processo para a fabricação de cortiça artificial e apparclho para esse fim.;NA
4.661;6 de jul.;Ewald Goltstein;Allemão;Engenheiro;Calonha (Allemanha);Aperfeiçoamentos em apparelhos para tapar garrafas por meio de capsulas metallicas.;NA
4.662;6 > >;Jacob Pulver Wright e Charles Frederick Wright.;Norte-americanos.;Industriaes;Barberton, Ohio (Estados Unidos da America). Paris (França);Machina aperteiçoada para encher caixas de phosphoros. Machina aperleiçoada aspiradora, com;NA
4.663;6 >;Jules René Blum;Francez;Engenheiro;;aspiração automaticamente varia- vel, para tirar pó dos tapetes, moveis, cortinas, etc.;NA
4.604;6;Jean de Zakovenko e Eugène Block;Russos;{ Engenheiro Capitalista;I );Novo barco com muitas helices, desti- nado a navegar á superficie e de- baixo d'agua. Aro elastico aperfeiçoado.;NA
4.665 4.666;6 7;Etienne Louis Auguste Olivier Josino Jorge dos Santos;Francez Brasileiro;Advogado Artista;) Rio de Janeiro;Apparelho sanitario para privadas e mictorios, denominado;NA
4.667;7;Conrado Sorgenicht;;Negociante;s. Panlo (Estado de s. Paulo) Roma (Italia);Processo chimico e mecanico para transformar as superficies irregula- res de vidros e crystaes em superli- cies planas, lisas e polidas. Novo mecanismo para por a trabalhar;NA
4.668;7;Eugenio Cantono.;Italiano Brasileiro;Engenheiro militar Official de navegação;Rio de Janeiro;ou pôr em marcha motores de explosão ou outras machinas em geral. Apparelho electrico para sondagens.;NA
4.669;7;Oswaldo Ferreira da Silva;;;;;NA
4.67;9;Affonso Celso de Assis Fernandes (1° te- nente).;;Militar;;Apparelho denominado <Triscopio>, cuo fim industrial e directo é de- compor a luz solar ou a artificial por meio da agua ou outro líquido transparente, tendo por fim indi- recto a exhibição do arco-iris ao publico.;NA
4.671;11 >;Antonio Luiz da Silva e Alfredo de Souza Santiago.;Portuguezes;Industriaes Industrial;Bello-Horizonte (Estado de Mi- nas Geraes). Rio de Janeiro;"Apparelho inviolavel e de facil uti- lização, destinado a determinar o consumo de agua potavel e deno- minado registro de pen- na de aguas. (1) Novo tear, a que denominou ""Tear";NA
4.672;12 > >;Eulina de Figueiredo Pinto;Brasileira;;;Eulina>, Novo jogo de recreio, a que denomi-;NA
4.673;12;A mesma;;;;"nou <Dominó Molerno"". Fôrma aperfeiçoada para fabricação";NA
4.674;16;José da Cunha;Portuguez;Negociante;;de instrumentos do corda, deno- minada GGuitarra de prata.;NA
4.675;19;Geraldo de Mesquita Sampaio;Brasileiro.;Agricultor;Estado de S. Paulo;Procusso para separar regularmente o café e outros grãos por meio de;NA
4.676;28 >;Barceló y Comp.;Argentinos;Commerciantes;Buenos Aires (Republica Argen- tina).;chapas metallicas com furos de forma especial. Verniz para tornar imperme .veis cabegas de phosphoros. em rodas de;NA
4.677;28;Catherine Jane Mc. Master;Australiano;Industrial;Sydnet (Australia);Aperfeiçoamentos tracção, polias e analogos.;NA
4.678;28 de julho;Leal, Santos & Comp;Brasileiros;Industriaes;Rio Grande (Estado do Rio Gran-;Dispositivo aperfeiçoado para aber-;NA
4.679;28 >;Puech y Andrés y Alvarez;Argentinos;Commerciantes;de do Sul). Buenos Aires (Republica Argen-;tura de latas. Apparelno aperfeiçoado para abaixar;NA
4.68;31;Carlos Braga Affialo;Inglez;Guarda-livros;tina). Rio de Janeiro;e levantar cortinas de metal ou outro material. Novo apparelho destinado a evitar;NA
4.681;31;Fraz Czerweny;Austriaco;Industrial;Deutschlandsberg (Austria);desastres com as rodas dos bonds, trens e outros vehiculos, denomi- nado eSalva-vidas Esperança>. Dispositivo de embebição (Írempage);NA
4,682;31;o mesmo;;>;> ( );para machinas de fabriear phos- phoros, Novo dispositivo em machinismo para;NA
4.683;31;Henry Wilson Fox;Inglez;Advogado;Londres (Inglaterra);fabricação de phosphoros. Aperfeiçoamento na armazenagem da energia electrica transmittida ele-;NA
4.684;31 >;Aktiebolaget Gasnecumulator;Sueca;Industrial;Stockholmo (Suecia);etricamente. Aperfeiçoamentos em boias luminosas;NA
4.685;6 > agt.;Antonio Lobo Corrêa de Barros;Portuguez;Negociante e industrial;Rio de Janeiro;e outros apparelhos de signaes lu- minosos. Fabrico de recalque de metaes.;NA
4.686 4.687;10 >> 10 >;Gabriel Marques Carregal Companhia Luz Stearica;Brasileira;Negociante Industrial;;Novo cartão postal para transmissão da palavra falada ou phonogra- phada, denominado <Cartão Sono- rino>. (1) Novo systema para fabricar sabão;NA
;;;;;;"commum destinado A lavagem do roupas e denominado "" Sabão da luz>.";NA
4.688;17 >;Paulo Henning;Allemão;>;S. Paulo (Estado de s. Paulo).;Apparelho accendedor, denominado;NA
4.689;18;Companhia de Luz e Força pelo Alcool;Brasileira;"""";Recife (Estado de Pernambuco);<Relampago>. Vaporizador aperfeiçoado, de al- cool. para illuminação e outros fins industriaes, denominado Vapori- zador Gouvea,;NA
4.69;18;William Adrom Ragsdale;Norte-americano.;>;Nova Orleans (Estados Unidos da America).;Apparelho aperfeiçoado para tratar caroços de algodão. (2);NA
4.691;18;William Adron Ragsdale;Norte-americano;Industrial;Nova Orleans ( Estados Unidos da America).;Machina aperfeiçoada para desfi- brar caroços de algodão. (3);NA
4.602;"18 """;Electric Boat Company;;;Nova York (Estados Unidos da America).;Regulador automatico de submer- são para submarinos, submergi- veis semelhantes.;NA
4.693;18;A mesma.;-;-;-;e (4) Dispositivo para o lançamento de torpedos de submarinos. (5);NA
4.694;18;Sociedade Anonyma Fabrica Argentina de Alpargatas.;Argentina;Industrial;Buenos Aires (Republica Argen- tina).;Machina aperfeiçoada para coser e consolidar a sola e fixar as gaspeas das alpargatas.;NA
4.695 4.696;18 de agt. 18 > >;A mesma A mesma;- -;- -;- -;Nova machina para enrolar a trança e coser a parte do salto e das bi- queiras, como tambem para com- primir, dar a fórma, consolidar e coser a sola das alpargatas. Nova machina para comprimir e for-;NA
4.697;18 > >;A mesma;-;-;-;mar a sola das alpargatas. Nova machina para trançar o mate- rial que constitue a sola das alpar-;NA
4.698;18 > >;Wenceslaus Nikolsky (coronel);Russo;Militar;Ochts (Russia);gatas. Processo para extracção, por dis-;NA
4.699;18 > >;The Crown Cork Company. limited;Ingleza;Industrial;Londres (Inglaterra);tillação, do dissolvente, no fabrico de polvoras sem fumaça ou de pouca fumaça e apparelhos para esse fim. Aperfeiçoamentos no fabrico de rolhas;NA
4.7;20 > >;Agenor Augusto da Silva Moreira;Brasileiro;Engenheiro.;Rio de Janeiro;para garrafas. Nova forma para fabricação de tijolos,;NA
;;e Alvaro de Castilho,;;Funccionario pub. municipal;Idem;denominada < Fôrma Patente>.;NA
4.701;20;Claudio Carballo Vasquez;>;Negociante;Cachoeira do Funil (Estado do;Processo para obter da banana um;NA
;;;;;Rio de Janeiro).;producto a que denominou <Ba-;NA
4.702;29;William Hermann Scharf.;Inglez;[udustrial;Quebec (Canadá);nanas neutralizadas>. Aperfeiçoamentos em machinas lino-;NA
4.703.;22;Aurelio Lopes Domingues;Brasileiro;Engenheiro civil;Rio de Janeiro;typas.;NA
;;Gaspar L. Domingues e Carlos Alberto Ribeiro de Medonça;Uruguayo Brasileiro;Negociante Engenheiro civil;Nitheroy (Estado do Rio de Ja- neiro). Rio de Janeiro;Systema de marcar a fogo, deno- minado <União>.;NA
4.704;27;Francisco Falcone e Victorio Falcone;Italianos;Industriaes;Idem;Pavilhão ambulante, destinado á ven-;NA
4.705,;27;Companhia Cervejaria Brahma.;Brasileira;Industrial;;da de flores, fructas, etc., deno- minado <Tenda Yvonnette. Novo systema de arrolhamento;NA
;;e Companhia Antarctica Paulista;;;S. Paulo (Estado de S. Paulo).;por meio de capsulas para garrafas e;NA
4.706;29;August Wilhelm Cordes.;Norte-americano.;Engenheiro architecto;Nova York (Estados Unidos da;semelhantes. Aperfeiçoamentos em fechos para;NA
4.707;29;York Rolling Process Company;Norte-americana;Industrial;America). Idem;garrafas. Methodo e apparelho aperfeiçoado;NA
4.708;30;William Hermann Scharf;Inglez;;Quebec (Canadá);para laminar trilhos ou peças me- tallicas de forma alongada. Novos aperfeiçoamentos nas machinas;NA
4.709;6 set.;Alexandre Rocha Gallo;Portuguez.;>;Rio de Janeiro;linotypas. Apparelho aperfeiçoado para separar;NA
4.71;6 >;Franz Albrecht;Inglez;Negociante;Liverpool (Inglaterra);e afinar ouro e prata por meio da electricidade. Processo aperfeiçado de tratamento;NA
;;;;;;de aguas de esgoto e outros líquidos de despejo, e meios para realizar;NA
4.711;6;L. B. de Almeida & Comp;Portuguezes;Industriaes;Rio da Janeiro;esso tratamento, (1) Aperfeiçoamentos em ferros de en-;NA
4.712;6;Julio L. Montaron;Francez;Engenheiro;Buengs Aires (Republica Argen- tina,;gommar. Aperfeiçoamentos em barreiras me- tallicas para destruição dos gafa-;NA
4.713;6;Lucien Roland;>;Banqueiro;Paris (França);nhotos. Materia elastica analoga ao cooul-;NA
;;;;;;chouc e processo de fabricação da mesma.;NA
4.714;6 de set.;Maude Nicholas;Ingleza;Capitalista;Londres (Inglaterra);Apparelho aperfelçoado para lavar,;NA
;;;;;;tingi ou tratar a lã, tecidos e Thantes.;NA
4.715;6 >;Charles Blades Coverdale Storey;Inglez;Engenheiro de minas;Lancaster (Inglaterra);sem Aperfeiço amentos em meios de desin-;NA
4.716;6;Jules Bengué;Francez;Pharmaceutico;Paris (França);tegrar, lavar e peneirar minereos e outras substancias solidas. Frasco aperfeiçado de vidro mol-;NA
4.717;6;Charles Frederic Carr;Inglez;Negociante;Rio de Janeiro;dado, destinadoa conter e distribuir liquidos volateis. Carro-omnibus aperfeiçoado, denomi-;NA
4.718;6;René Marot;Francez;Engenheiro;Paris (França);nado <Automovel-Omnibuso. Systema de producção e distribuição;NA
;;;;;;de uma mistura gazosa, propria a extinguir incendios bem como a matar animaes nocivos.;NA
4.719;;Edwin Ruthven Gill;Nor re-americano.;Engenheiro-electricista;Estado de Nova York (Estados;Aperfeiçoamentos em apparelhos se-;NA
4.72;6 >;Christiano M. Poetz;Brasileiro;Engenheiro;Unidos da America). S. Paulo (Estado de S. Paulo).;lectivos de signaes. Machina para beneficiar café,;NA
4.721;6;Augusto Ramos;;Engenheiro civil;Idem;denominada < Excolsior, systema Poetz*. Aperfeiçoamentos em seccadores,;NA
4.722;6;James Temple Clark;orte-americano;Industrial;Montreal (Canadá);Fixador automatico de porca.;NA
4.723 4.724;6 > 6 >;John Francis Appleby Emilio Richter;Brasileiro;;Chicago ( Estados Unidos da America). Rio de Janeiro;Machina aperfeiçoada para colher algodão. Applicação da decalcomania em car-;NA
;;;;;;tões postaes e cartazes para fins in- dustriaes, empregada em combina- ção com a cortiça, couro e ma- deira.;NA
4.725;13 > >;Nunes & Irmão e Antonio Leivas Leite;Brasileiros;Industriaes;Pelotas (Estado do Rio Grande do;Processo de preparar xarque, deno-;NA
4.726;13 > >;Amileare Lusuardi;Italiano.;Engenheiro-mecanico;Sul). Rio de Janeiro;minado <Xarque pelotense>. Nova prensa para ladrilhos, denomi-;NA
4.727;"13 > """;Companhia Mc Hardy;Brasileira;Industrial;Campinas (Estado de s. Paulo).;nada <Prensa universib Nova chapa descascadora, denominada rebitada>.;NA
