"N";"Data";"Nome";"Nacionalidade";"Profissão";"Domicilio";"OBJECTO DA INVENÇÃO";"OBSERVAÇÔES"
"4.404";"13";""Paulo andido Dias de Andrade";"Brazileiro";"Agricultor";"Estado de São";"Aproveitamento das fibras textis extrahidas do genero Sida, da especie Sida rhombifolia, L., e de outros ge- neros da familia das Malvaceas, vulgo Vassouras>>, conhecidas em S. Paulo por Vassouras mineiras ou ""Vas- souras brancas>, a todas as quaes de- nominou ""Aurum fibrina>.";""
"4.405";"13";"José Soares Lapa.";"Portuguez";"Industrial";"Recite (E. de Pernambuco.";"Novo systema de argolas para pinceis, vassouras e objectos semelhantes,";""
"4.406";"";"Jakob Sulzer";"Suisso.";"Engenheiro";"W i n t e t h ur (Suissa).";"Um processo de trabalho em machinas de combustão interna.";""
"4.407";"";"o mesmo.";".";"-";"-";"Um processo de combustão em ma- chinas motoras,";""
"4.408";"";"Juan Carbone";"Italiano";"Mecanico.";"Buenos Aires (R. Argentina).";"Um apparelho automatico limpa-tri- lhos.";""
"4.400";"";"João Baptista da Fonseca (capitão).";"Brazileiro";"Negociante";"Carmo da Ca- choeira (E. de Minas Geraes)";"Applicação do Phoradendron Perro- ttitii, da familia das Loranthaceas (denominado vulgarmente <Toxa"" e pelo inventor <Toxetuber>), e seus preparados a fins medicinaes.";""
"4.410";"";"Marie Clémence Casta- gnone.";"Franceza.";"Industrial";"Rio de Janeiro.";"Um processo para a depuração do sal grosso para cozinha,";"Dependente- da abertu ra do envo- lucro depo- sitado e da publicação"
"4.411";"";"Simon Lake.";"Norte-americ.";"Engenheiro";"Bridgeport,Cor necticut (E.U. da America do Norte).";"Um dispositivo para supprimento de ar em navios submarinos.";"do relat°."
"4.412";"30";"Justiniano Whitaker de Oliveira (coronel). Luiz Nouguès";"Brazileiro Francez";"Fazendeiro Eng. agronomo.";"Araras (Estado de s. Paulo).";"Um processo de conservação do leite.";""
"4.413";"30 l.";"Ferraz & Ferreira.";"Portuguezes.";"Industriaes";"Rio de Janeiro.";"Aperfeiçoamentos em caixas ditas cai- xas de toldo.";""
"4.414";"30 de set.";"(José Maria Pinto Guedes. João Batéa";"Portuguez Hungaro.";"Commerciante . Eng. chimico";"(S.Paulo (Estado de s. Paulo).";"Uma machina para fabricação de phos- phoros.";""
"4.415";"30";"Carl Knopf";"Allemão";"Industrial";"Hamelingen, perto de Bre- men (Allema- nha).";"Um processo de tratamento dos resi- duos do algodão ou outros residuos industriaes contendo materias fibro- sas e machina para esse fim.";"Transferida a Johannes Dietrich Barth e Paul Her- mann Min- ck, domici- liados na Allemanha"
"4.416";"30";"Simon Lake.";"Norte-americ.";"Engenheiro";"Bridgeport, Con- necticut (E.U. da America do Norte).";"Aperfeiçoamentos em navios submari- nos.";""
"4.417";"9 de out.";"Merino & c.";"Portuguezes.";"Negociantes.";"Riode Janeiro";"Escarradeiras com supporte movel de nivel constante.";""
"4.418";"10";"Alfred Elgar";"Inglez.";"Architecto na- val.";"Londres (Ingla- terra).";"Uma torpedeira submarina.";""
"4.419";"10";"Marconi's Wireless Tele- graph Company, Li- mited.";"Ingleza";"Industrial";"Idem";"Aperfeiçoamentos em instrumentos para a conversão de correntes alter- nativas em correntes continuas.";""
"4.420";"10 """;"The Crown Cork and Seal Company.";"Norte-americ.";"";"Baltimore (E.U. da America do Norte).";"Machinas de arrolhar garrafas com rolhas ditas "" corôa""";""
"4.421";"16";"Jens Theodor Suh r Schouboe.";"Dinamarquez";"1° tenente";"Holte (Dinamar- ca).";"Um mecanismo de gatilho para armas de fogo automaticas.";""
"4.422";"16";"o mesmo.";"-";"-";"-";"Aperfeiçoamentos em mecanismos para extrahir e expulsar estojos de car- tuchos servidos em armas de cano de recuo.";""
"4.423";"16";"The Crown Cork and Seal Company.";"Norte-americ.";"Industrial";"Baltimore (E. U. da America do Norte).";"Um apparelho para applicar rolhas em garrafas.";""
"4.424";"16";"Ernest Frederick Greeff. Albert Tilt. Charles César Rossire";"";"Commerciante Industrial Commerciante";"(New-York(E.U. da A merica do Norte).";"Machina aperfeiçoada para descascar fibras.";""
"4.425";"16";"Erich Berliner.";"Allemão";"Industrial";"Elberfeld (Alle- manha).";"Um processo para pasteurizar cerveja.";""
"4.426";"19";"Domingos Rangoni";"Italiano";"Publicista";"S. Paulo (Estado de s. Paulo).";"Applicação industrial da fibra de uma planta da familia das Musaceas á fa- bricação dos tecidos, cordames, tran- cados, papeis, pinceis, escovas e ou- tros artefactos.";""
"4.427";"21";"José Guimarães.";"Brazileiro .";"Industrial";"Rio de Janeiro.";"Um apparelho pedagogico, denomina- do < Taboada manual. """;""
"4.428";"21";"Emilio Soares Guimarães";"";"";"Idem";"Cartões de seda, denominados Placas réclames. """;"Sob acção de nullidade."
"4.429";"23";"The Neuchatel Asphalte Company, Limited.";"Ingleza";"";"Londres (Ingla- terra).";"Systema aperleiçoado de calçamento por meio de lençol de asphalto na- tural em pó.";""
"4.430";"23";"A mesma.";"-";"-";"";"Uma massa pastosa de asphalto natu- ral para calçamento, pavimentos, terraços e revestimentos,";""
"4.431";"23 de out.";"Charles Marcart";"Francez";"Engenheiro";"Paris (França).";"Um dispositivo de manobra para con- tadores para carros.";""
"4.432";"";"|Hugo Lentz. Charles Bellens";"Allemão Francez";"";"Berlim (Allen.) Neuilly-sur-Sei- ne (França).";"Aperfeiçoamentos em locomotivas a vapor sobreaquecido.";""
"4.433";"30";"Julien Capot.";"";"Agente commer- cial.";"Rio de Janeiro";"Um novo isolante domiciliar, para o fim de isolar os assoalhos domicilia- res da humidade do solo.";""
"4.434";"31";"Companhia Nacional Bra- zileira de Phosphoros de Segurança.";"Brazileira";"Industrial";"s. Paulo (Estado de S. Paulo).";"Uma caixinha aperfeiçoada para phos- phoros, denominada <Caixinha Ideal"".";""
"4.433";"31";"Stephen Dudley Field.";"Norte-americ.";"Engenheiro ele- ctricista.";"Estado de Mas- sachusetts (E. U. da America do Norte).";"Aperfeiçoamentos em apparelhos re- ceptores telegraphicos.";""
"4.436";"31";"(Georg Kirkegaard (Fridtjof Jebsen";"";"Eng. mecanico. a";"New-York (E. U. da America do Norte).";"Aperfeiçoamentos em fechos para gar- rafas e semelhantes.";""
"4.437";"4 de nov.";"Charles Smitz Van Acker";"Belga";"Esculptor";"Eecloo (Belgica).";"Aperfeiçoamentos em machinas de es- culptura.";""
"4.438";"";"Chemisch-Technische Fa- brik Dr. Alb. R. w. Brand & Co. G. m. b. H.";"Allemã";"Industrial";"Charlottenburg (Allemanha).";"Um processo aperfeiçoado para colorir pedra natural.";""
"4.439";"";"Albert Hayes";"Norte-americ. .";"Industrial";"New-Yor (E. U. da America do Norte).";"Um apparelho para vaporizar liquidos.";""
"4.440";"";"George François Jaubert.";"Suisso.";"Engenheiro";"Paris (França).";"Novo modo de propulsão para barcos submarinos.";""
"4.441";"";"Felippe Saboia Bandeira de Mello.";"Brazileiro";"Advogado";"Pelotas (E. do Rio Grande do Sul).";"Novo processo de melhoramento e con- servação do xarque, denominado <Xarque Presunto.";""
"4.442";"";"Amilcare Lusuardi";"Italiano";"Eng. mecanico.";"Rio de Janciro.";"Uma latrina aperfeiçoada, denominada <Latrina Perfeição>.";""
"4.443";"";"Val de Travers Asphalte Paving Company, Li- mited.";"Ingleza";"Industrial";"Londres (Ingla- terra).";"Um systema de calçamento, aperfei- coado, a macadam de asphalto.";""
"4.444";"";"Frederick James Com- min.";"Britannico";"";"Idem";"Uma installação para tratamento e fil- tração das materias de exgottos pelo septic tank.";"Transferida a Franz Al- brecht, de Liverpool- Inglaterra."
"4.445";"";"Charles Arthur Battis- combe.";"";"Eng. civil";"Idem";"Aperfeiçoamentos em apparelhos de distribuição empregados na filtração das aguas de exgottos e outros li- quidos.";"Idem aomes- mo Franz Albrecht."
"4.446";"";"Francisco Eugenio Leal. John Picton Nelson José Teixeira Marques.";"Brazileiro Inglez. Portuguez";"Negociante Industrial";"Rio de Janeiro.";"Novo producto explosivo, denominado =Royal Dynamites. ""Pós";""
"4.447";"7";"Antonio Joaquim da Motta.";"";"";"Idem";"Um preparado denominado egy- pcianos. para matar mosquitos e desinfectar.";""
"4.448";"";"(Richard G. Invood Perry C. Lavenberg.";"Norte-americ.";"";"Estado de India- na (E. U. da America do Norte).";"Aperfeiçoamentos em caixas e machina para fabrical-as.";"Transferida á Natio- nal Wire Bound Box Company."
"4.449";"10 de nov.";"Arthur A. Löfgren";"Brazileiro";"Engen. civil e electricista.";"s. Paulo (E. de S. Paulo).";"Um ingrediente para carregar o car- tucho formicida EEterminador Löf- gren"" e meio de utilizal-o.";""
"4.450";"10";"o mesmo.";"-";"-";"-";"Um tubo metallico para ingrediente formicida.";""
"4.451";"10";"Roberto Clark";"Britannico";"Industrial";"Sarandy (E. de s. Paulo).";"Um esbrugador para café e outros grãos, denominado "" Esbrugador Clark >.";""
"4.452";"10";"Tozaburo Suzuki";"Japonez";"";"Tokio (Japão)";"Aperfeiçoamentos em limpãdores para tubos de caldeiras.";""
"4.453";"10";"The Regenerated Cold Air Company.";"Norte-americ,";"";"Boston, Massa- chusetts (E. U. da America do Norte).";"Aperfeiçoamentos em apparelhos para tratamento doar.";""
"4.454";"10";"(Richard Georges Popp. Aldo Levis de Horevitz.";"Francez";"Engenheiro";"Paris (França). Idem.";"Um contador kilometrico e horo-kilo- metrico.";""
"4.455";"10";"George François Jaubert.";"Suisso.";"";"Idem";"Um processo que permitte applicar o oxygenio ou um gaz oxygenado ás machinas thermicas afim de se obter força motriz.";""
"4.456";"10";"o mesmo.";"-";"-";"-";"Aperfeiçoamentos no emprego da ma- china a vapor para a propulsão dos barcos submarinos durante o periodo em que estão debaixo de agua.";""
"4.457";"10 "" >";"Lawrence York Spear";"Norte-americ.";"Industrial";"Quiney, Massa- chusetts (E.U. da America do Norte).";"Aperfeiçoamentos em barcos subma- rinos.";"Transferida á Electric Boat Com- pany, de New-York,"
"4.458";"10";"o mesmo.";"-";"-";"-";"Um mecanismo para regular a fluctua- ção em barcos submarinos e submer- giveis.";""
"4.459";"10";"Rocco Stola.";"Norte-americ.";"Industrial";"New-York (E. U. da America do Norte).";"Aperfeiçoamentos em mecanismos para propulsão e governo de navios.";""
"4.460";"10";"Thomas Joseph Moriarty.";"";"";"Idem";"Aperfeiçoamentos em meios de trans- portar e manobrar os torpedos nos navios.";""
"4.461";"10";"Waldemar Poulsen";"Dinamarquez";"Engenheiro ele- ctricista.";"Fredericksberg (Dinamarca).";"Aperfeiçoamentos em receptores para transmissão de signaes, sem fios.";""
"4.462";"13";"King Camp Gillette";"Norte-americ.";"Fabricante";"Boston, Massa- chusetts (E. U. da America do Norte).";"Aperfeiçoamentos em fechos para gar- rafas.";""
"4.463";"13";"José de Almeida";"Portuguez";"Industrial";"Rio de Janeiro.";"Uma pasta para Iustrar ou polir cal- cado fino, preto ou de côr, denomi- nada Pasta Excelsior>.";""
"4.464";"17";"Maurizio Barricelli";"Italiano";"Pintor.";"Roma (Italia)";"Photo-archetypia ou transformação dos negativos photographicos de bromu- reto de prata em archetypos desti- nados a ser impressos com tinta de impressão.";""
"4.465";"28";"Lon A. Bond";"Norte-americ.";"Industrial";"Estado de In- diana (E. U.da America do Norte).";"Novo processo de fabricação de artigos impermeaveis.";""
"CR 4.466";"28";"Joseph Florentin Lèbre.";"Francez";"";"Rio de Janeiro.";"Aperfeiçoamentos em caixas de des- cargas para lavagem.";""
"4.467";"28 de nov.";"Eduard Würl Richard Freiherr von Mattencloit.";"Austriaco";"Industrial";"Praga. Pischely, Bohe- mia (Austria).";"Um processo para fabricação de bri- quettes compostos de forragens e outras plantas economicas.";""
"4.468";"28";"Companhia Manufactora Fluminense.";"Brazileira";"";"Rio de Janeiro.";"Aperfeiçoamentos em machinas de im- primir tecido ou papel.";""
"4.469";"28";"André Cateysson";"Francez";"";"Idem";"Um preparado, a que denominou ""Kao- lina>, destinado á desinfecção em geral.";""
"4.470";"29";"Antonio Felix Teixeira da Costa.";"Brazileiro";"";"Idem";"Um apparelho destinado á reclamar com urgencia o auxilio da policia, do corpo de bombeiros, e a attender a qualquer requisição por mais ur- gente que seja ca prestar serviços de correspondencia dentro e fóra da cidade.";"Dependente da abertu- ra do envo- lucro depo- sitado e da publicação do relatorio"
"4.471";"30 >";"Geraldo de Mesquita Sampaio.";"";"Agricultor";"Itú (Estado de s. Paulo).";"Um systema de separar café, em suas qualidades, denominado Separador Paulista>.";""
"4.472";"2 de dez.";"Maurice Detroyat.";"Francez";"Engenheiro";"Rio de Janeiro.";"Um systema aperfeiçoado de extincção de incendio.";""
"4.473";"2 """;"o mesmo.";"-";"-";"-";"Um apparelho extinctor de incendio. aperfeiçoado.";""
"4.474";"7 "" """;"Luiz Schulz.";"Allemão";"Artista";"Idem";"Novo apparelho para fabricar gaz ace- tyleno sem perigo de explosão, e que serve para illuminação e lorça motriz, denominado <Apparelho Schulz>.";"Dependente do paga- mento da publicação do relatorio"
"4.475";"13";"Lydio Soares de Lima";"Brazileiro";"Gerente de Com- panhia.";"Rio Grande (E. do Rio Grande do Sul).";"Um processo especial para o preparo do xarque verde. adapta-";""
"4.476";"14";"Solon Antonio de Miran- da Henriques.";"";"Industrial";"Labrea (E. do Amazonas).";"Escada portatil Henriques"", vel aos barrancos das margens dos rios da região amazonica.";""
"4.477";"16";"Augustin Labroue.";"Francez";"";"Rio de Janeiro.";"Aperfeiçoamentos em cigarros.";""
"4.478";"16";"Clemens Tittel.";"Austriaco";"";"Josefsthal, perto de Laib a ch (Austria).";"Aperfeiçoamentos na fabricação de papeis coloridos.";""
"4.479";"20";"James Thomas Jepson";"Britannico";"Engenheiro";"Londres (Ingla- terra).";"Aperfeiçoamentos em engates pára- choque para material rodante de estradas de ferro e outro.";""
"4.480";"20";"Simon George Wightman.";"Norte-americ.";"Commissario";"Washington (E. U. da America do Norte).";"Nova composição de materias para con- strucções, calçamentos, canalizações etc.";""
"4.481";"20";"William Hermann Schart.";"";"Industrial";"Montréal (Cana- dá).";"Aperfeiçoamentos em prensas de para- fuso para apertar ou comprimir uma linha de matrizes em machina de compôr e fundir linotypos.";""
"4.482";"20";"Luiz de Almeida Camargo";"Brazileiro";"Agricultor";"Rio Claro (E. de S. Paulo).";"Um ventilador sem jogo e por aspiração, para café e outros productos agrico- las já descascados, denominado <Al- meida"".";""
"4.483";"26";"Mauricio Reidel Jacobo Jankilievich";"Argentino";"Industrial";"Buenos Aires (R. Argentina).";"Um enveloppe ou sobrescripto economico annunciador para correspondencia.";""
"4.484";"30";"Sociedade em comman- dita para utilização das invenções do enge- nheiro Beer.";"Italiana";"";"Veneza (Italia).";"Aperfeiçoamentos em dispositivos de block para evitar automaticamente accidentes em vias-ferreas.";"Dependente do paga- mento da publicação do relatorio"
"1";"5 de jan.";"Rodolpho Fechner";"Allemão";"Industrial";"Rio de Janeiro.";"Um producto industrial, denomi- nado "" Lacto-Champagne "", que deve ser usado como refresco e para outros mistères.";"30 de dezembro de 1904."
"2";"17 "" """;"Antonio Borges de Cas- tro.";"Brazileiro";"Pharmaceutico.";"Idem";"<Leite peptonizados, empregado como alimento e como medicamento em todos os casos em que o leite se tornar necessario.";"10 de janeiro de 1905."
"3";"14 de fev.";"Joaquim Ribeiro da Cos- ta (capitão de fragata)";"";"Engenheiro na- val.";"";"Uma lampada a vapor de alcool ou de petroleo, denominada Nova lampada brazileira Ribeiro da Costa>.";"24 de dezembro de 1904."
"4";"23 """;"Adolphe Leyret";"Francez";"Engenheiro ci- vil.";"";"Um systema de distribuição automa- tica de sellos do correio e outros.";"10 de fevereiro de 1905."
"5";"25 "" """;"Joaquim Severino da Cruz.";"Brazileiro";"Empregado no commercio.";"S. Paulo (Estado de s. Paulo).";"Cigarros de filtro e boquilha, deno- minados Cigarros Adão e Eva, systema Joaquim Cruz "".";"4 de fevereiro de 1905."
"6";"1 de março";"Augusto Anastacio Ri- beiro.";"";"Machinista";"Rio de Janeiro.";"Um motor economico.";"6 de fevereiro de 1905."
"7";"15 "" """;"Horacio Corrêa e Silva -";"Portuguez .";"Industrial";"Idem";"Banho solidificante: para obrigar} os vidros proprios de lampções a resistir ás correntes de ar e ao calorico produzido pela chamma.";"23 de fevereiro de 1905."
"8";"27";"Henrique Deslandes (ma- jor).";"Brazileiro";"";"";"Uma caixa propria para mineralizar a materia organica dos residuos impuros.";"10 de março de 1903."
"9";"30 """;"Manoel Jorge de Oli- veira.";"Portuguez";"";"Limeira (Estado de S. Paulo.";"Um apparelho para separar, catar e ligar café, denominado "" Classifi- cador de Café Oliveira x";"8 de março de 1905."
"10";"12 de abril";"Francisco Alves Jorge Malta.";"";"Negociante";"Rio de Janeiro.";"Um processo de utilização do caldo de canna de assucar, como base de sorvetes, ao qual processo deno- minou "" Sorvete japonez "".";"2 de março de 1905."
"11";"18";"Ernesto Victor Conga- linon.";"Francez";"Industrial";"Idem";"Um abridor automatico de chaves para estradas de ferro.";"4 de abril de 1905"
"12";"19";"Eduardo José de Souza Proença.";"Brazileiro";"";"";"Um systema de discos e cylindros denominados "" Brazil"", destinados a apparelhos reproductores dos sons, taes como phonographos, zo- nophones e semelhantes.";"8 1905"
"13";"25 """;"Manoel Antonio Galvão.";"";"";"Maceió (Estado de Alagoas).";"Um systema de alambiques desti- nados á destillação do alcool.";"19 de dezembro de 1904."
"14";"4 de maio";"Maria de Mello";"Brazileira natu- ralizada,";"";"Rio de Janeiro.";"Um novo systema de annuncios e decorações nos domicilios, feitos sobre azulejos e mosaicos.";"26 de abril de 1905."
"15";"6";"Enrico Giulietti";"Italiano";"Engenheiro .";"Milão (Italia)";"Um novo systema de muitas scenas moveis mecanicas.";"11 de abril de 1905."
"16";"8";"Francisco Silverio de Oliveira.";"Brazileiro";"Industrial";"Rio de Janeiro.";"Um producto sob o titulo Calçado Interimpermeavel Brazileiro *";"4 de abril de 1905"
"17";"18";"José Liberato dos Santos Braz da Silveira Caldeira";"";"Agrimensor Empregado pu- blico.";"Estado do Rio de Janeiro Rio de Janeiro.";"Um fecho de malas do correio e wa- gons de carga de estradas de ferro, denominado "" Fecho postal bra- zileiro "".";"22 de março de 1905."
"18";"18 de maio";"José Liberato dos Santos Braz da Silveira Caldeira";"Brazileiro";"Agrimensor Epregregado pu- blico.";"Estado do Rio de Janeiro. Rio de Janeiro.";"Um sinete e cortador mecanico para fecho de malas do correio e wagons de estradas de ferro.";"22 de março de 1905."
"19";"19";"Eduardo José de Souza Proença. Roberto Leão da Costa.";"Brazileiro";"Industrial Negociante";"Rio de Janeiro.";"Um systema de chaminés. globos, lampeões, lanternas, pharoletes etc., a que denominaram <Brasil>.";"29 de abril do 1905."
"20";"20";"Virissimo Barbosa de Souza.";"";"Engenheiro me- canico.";"Idem";"Um novo torpedo denominado "" De- struidor d' Esquadras "".";"24 de abril de 1905."
"21";"23";"Guilherme Fischer Ju- nior.";"";"Negociante";"s. Paulo (Esta- do de s. Paulo).";"Um apparclho. denominado ""Medi- dor"".para a medição de distancias.";"11 de maio de 1905."
"22";"30";"Paulo Benedetti";"Italiano";"Industrial";"Rio de Janeiro.";"Helyogenia"", para producção de gaz acetyleno.";"28 de abril de 1905."
"23";"9 de junho.";"Edwin Montagne Wilkes Fernando Avila Ernesto Fernandes Car- ranca.";"Inglez. Portuguez";"Medico Commerciante";"Nictheroy ( Es- tado do Rio de Janeiro). Rio de Janeiro. Idem";"Uma machina portatil de fazer blocks perfurados. de concreto ou qual- quer argamassa semelhante, para construcções.";"25 de maio de 1903."
"24";"14 """;"Eduardo Mendes Limo- eiro.";"Brazileiro";"Engenheiro";"""";"Um systema de bilhetes para estra- das de ferro, bonds e semelhantes.";"8 de maio de 1905"
"25";"17 "" """;"Eduardo José de Souza Proença.";"Brazileiro";"Industrial";"";"Um braço acustico, a que denominou 2 "" Possante "", destinado a phono- graphos, zonophones, grammopho= nes e apparelhos fallantes seme- lhantes, com o fim de augmentar e tornar mais nitidos os timbres das vibrações sonoras.";"de junho 1905."
"26";"20";"José Candido da Silva";"";"Guarda-livros";"Rio de Janeiro.";"Novo systema de bonds sem trilho (ferro-carril).";"13 de junho de 1905."
"27";"27";"Edwin Montagne Wilkes";"Inglez.";"Medico Commerciante";"Nictheroy (Es- tado do Rio de Janeiro). Rio de Janeiro.";"Um melhoramento nos fornos pro- prios para o cozimento de artigos de barro ou kaolina.";"13 de junho de 1905."
"28";"1 de julho";"Fernando Avila Luiz Henrique Dreux";"Portuguez Brazileiro";"Electricista";"S. Paulo( Estado de s. Paulo).";"Um apparelho denominado Boccas Rattus >> para ser applicado nas guias de calçadas e quintaes.";"12 de maio de 1905."
"29";"3";"Euzebio Maximiano Pi- res Ferreira.";"";"Industrial";"Rio de Janeiro.";"Aguardente gazosa. ou outra qual- quer especie de bebida alcoolica waturada de gaz carbonico, deno- minada Champagne Nacional "".";"8 de junho de 1905."
"30";"";"Stefano Malinconico.";"Italiano";"Publicista";"Rio de Janeiro.";"Uma Caixa Garantidora:";"2 de junho de 1905."
"31";"8";"Collatino Marques de Souza. José Lopes Pereira de Carvalho Sobrinho.";"Brazileiro";"Capitão de fra- gata. Engenheiro";"Idem";"Banheiros de agua do mar em terra firme.";"14 de junho de 1905. de de"
"32";"11";"João Teixeira Brandão.";"";"Negociante";"";"Um novo systema de vasos ou depo- sitos para conter e transportar lixo, denominado -Balde hygienico para lixo >.";"17 junho 1905."
"33";"11";"Luiz Whittlesey Tibyriçá";"";"Industrial";"S. Paulo (Estado de S. Paulo).";"Um catador de café, arroz e outros cereaes.";"29 de maio de 1905."
"34";"20";"Edwin Montagne Wilkes. Fernando Avila";"Inglez. Portuguez";"Medico. Commerciante";"Nietheroy ( Es- tado do Rio de Janeiro). Rio de Janeiro.";"Um melhoramento no modo de trans- portar material dentro de uma fabrica.";"13 de junho de 1905."
"33";"24 de julho .";"Adolpho Llanos";"Hespanhol";"Industrial";"Rio de Janeiro.";"Um apparelho portatil, denominado o Publicador Economico "", con- tendo um novo systema de publi- cidade, gratuita para o publico, por meio de lettras soltas, sem o emprego de machinas de imprimir.";"10 de julho de 1905."
"36";"24 """;"Carlos Mucke";"Allemão";"Engenheiro";"S. Paulo (Estado de s. Paulo).";"Um embolo economico para machi- nas a vapor, denominado ""Embolo economico Carlos Mucke";"5 de julho de 1905. 1"
"37";"26";"Conrado Sorgenicht.";"Brazileiro";"Commerciante";"Idem";"Um systema de placas, paineis, cha- pas e semelhantes.";"8 de julho de 1905."
"38";"5 de agosto";"Augusto Cambraia";"""";"Industrial";"Rio de Janeiro.";"Uma fibra denominada Cambraia";"11 de julho de 1905."
"39";"26";"Manoel Sol y Canhas.";"Hespanhol";"Lithographo.";"Porto Alegre (E. do Rio Grande do Sul).";"Um apparelho para caçar ratos, moseas, baratas e mosquitos, de- nominado Pharol Caçador Porto Alegre""";"19 de julho de 1905."
"40";"26";"Manoel Vieira de Mello Junior.";"Portuguez";"Industrial";"Nictheroy ( Es- tado do Rio de Janeiro).";"Uma machina denominada "" Motor Hilda"".";"8 de agosto de 1905."
"41";"26";"Conrado Sorgenicht.";"Brazileiro";"Negociante";"s. Paulo (Estado de S. Paulo).";"Um processo para lapidação de dros e crystaes.";"vi- 8 de agosto de 1905."
"42";"28";"ManoelMarquesPinheiro";"";"Industrial";"Idem";"Aperfeiçoamento na tracção ele- ctrica dos bonds.";"12 de agosto de 1905."
"43";"28 """;"José Pinto Rodrigues de Britto.";"";"";"Rio de Janeiro.";"Um apparelho denominado A Escar- rador Sanitario";"5 de agosto de 1905."
"44";"31";"Virissimo Barbosa de Souza.";"";"Engenheiro me- canico.";"Idem";"Uma torpedeira de novo systema (de- nominado Systema Neptuno"" quer na fórma da construcção do caseo, quer na organização interna, como ainda no machinismo, sendo todos os detalhes principaes de sys- tema não vulgar.";"5 de agosto de 1905."
"45";"9 de set.";"Frederico Ferreira de Oliveira (capitão de fragata). Henrique Schutel.";"";"Engenheiro";"";"Um apparelho denominado "" Ane- mophoro "", que tem por fim evitar a poeira no interior dos carros das estradas de ferro.";"17 de agosto de 1905."
"46";"11";"Theophilo Henriques de Sant'Anna.";"";"Industrial";"";"Um preparado, denominado Santa Anna>>, para a cura da tubercu- lose e molestias das vias respira- torias.";"2 de agosto de 1905."
"47";"13";"Augusto Bernacchi";"";"Engenheiro ci- vil.";"";"Dous typos de caixas proprias para o deposito de lixo das zonas urba- nas de cidades, denominadas "" Sa- nitarias A. Bernacchi"",";"28 de junho de 1905."
"48";"16";"João Cordeiro da Graça.";"";"Engenheiro";"";"Um systema de calçamento a blocos de pedra sobre colchão de bitume (asphalto-cimento) natural ou ar- tificial.";"22 de agosto de 1905."
"49";"20";"Armando Baptista Jor- ge.";"";"Militar";"";"Aperfeiçoamentos em sellim de mon- taria.";"18 de agosto de 1905."
"50";"20";"o mesmo";"-";"-";"";"Aperfeiçoamentos em arreios de tra- cção para viaturas pesadas em geral e especialmente para arti- Iharia.";"21 de agosto de 1905."
"51";"20";"Eduardo Gaspar Fer- reira. Antonio Gaspar Fer- reira,";"Brazileiro";"Negociante";"";"Um apparelho para illuminação por incandescencia pelo gaz acetylene.";"19 de agosto de 1905."
"52";"26 de set.";"Luiz de Toledo Piza e Almeida.";"Brazileiro";"Advogado.";"s. Paulo (Estado de s. Paulo).";"Um novo meio para o preparo indus- trial do café concentrado, conden- sado ou em extracto, sem alteração do gosto nem perda do aroma.";"30 de agosto de 1905."
"53";"4 de out.";"Nelson Guillobel.";"";"Guarda-marinha";"Rio de Janeiro.";"Um apparelho denominado Servo- motor electrico"", tendo por fim o governo dos navios.";"21 de setembro de 1905."
"54";"14";"Antonio Coutinho Gomes Pereira.";"";"Capitão de fra- gata.";"Idem";"Um apparelho denominado Com- mutador automatico para o cir- cuito de fogo dos canhões de bordo.";"4 de outubro de 1905."
"55";"21";"Roberto Clark.";"Britannico";"Industrial";"Sarandy (Esta- do des, Paulo)";"Um esbrugador para café e outros grãos, denominado "" Esbrugador Clark";"15 de setembro de 1905."
"56";"21";"Jorge Suppo";"Brazileiro.";"";"Soledade (Esta- do de Minas Geraes).";"Um dispositivo para evitar a poeira no interior dos carros de passagei- ros e outros vehiculos.";"21 de setembro de 1905."
"57";"25";"Leopoldo Victor Mar- ques.";"";"Mecanico.";"Estado de Per- nambuco.";"Um economisador de combustível em caldeiras a vapor, denominado Economisador Victor Marques *";"2 de outubro de 1905."
"58";"11 de nov.";"Gregorio Gonçalves de Castro Mascarenhas.";"";"Engenheiro";"Amparo (Estado de s. Paulo).";"Um apparelho, denominado Avi- sador Mac-Gregor"", tendente a evitar accidentes nas vias-ferreas.";"16 de outubro de 1905."
"59";"22";"Augusto Bracet";"";"[Industrial";"(Rio de Janeiro.";""" Pavilhão Fluminense"", à venda de flores e á industria de engraxar botas.";"1905."
"60";"30";"Jorge Suppo. Charles Sorensen";"Dinamarquez";"";"(Soledade (Esta- do de MinasbGeraes).";"Uma caixa para lubrificação de eixos, "" Systema Soledade""";"25 de outubro de 1905."
"61";"4 de dez.";"Angelo Schieppati Edoardo Izar (Dr.) .";"Italiano";"";"SMilão, Inveru- 2 no (Italia).";"Um vehiculo de base ou assento por- tatil.";"4 de novembro de 1905."
"62";"12";"Augusto Barbosa da Silva";"Brazileiro";"Engenheiro de minas.";"Ouro Preto (Es- tado de Minas Geraes).";"Um forno electrico para o fabrico do aço e do ferro.";"13 de novembro de 1905."
"63";"12";"o mesmo";"-";"-";"-";"Um alto-forno electrico de cadinhos multiplos.";"13 de novembro de 1905."
"64";"16";"Otto Koch Junior.";"Allemão";"Engenh. agro- nomo e massa- gista.";"S. Paulo (Estado de s. Paulo).";"Um processo de fabricação de gomma de milho.";"21 de novembro de 1905."
